"table","column","type","filled","rows_in_table","name_in_export","classification","approved_by","approved_date","note"
"cow_lactations.parquet","age_at_start_days","numeric",5579,5937,FALSE,"derived",,,
"cow_lactations.parquet","any_et","logical",642,5937,FALSE,"derived",,,
"cow_lactations.parquet","breeding_season","character",4394,5937,FALSE,"derived",,,
"cow_lactations.parquet","breeding_type","character",4394,5937,FALSE,"derived",,,
"cow_lactations.parquet","calf_birth_date","Date",4025,5937,FALSE,"sourced (joined label)",,,
"cow_lactations.parquet","calf_crop","character",4394,5937,FALSE,"derived",,,
"cow_lactations.parquet","calf_id","character",4025,5937,FALSE,"derived",,,
"cow_lactations.parquet","calf_sex","character",4011,5937,FALSE,"sourced (joined label)",,,
"cow_lactations.parquet","calved","logical",4025,5937,FALSE,"derived",,,
"cow_lactations.parquet","calving_interval_days","numeric",2685,5937,FALSE,"derived",,,
"cow_lactations.parquet","censored","logical",983,5937,FALSE,"derived",,,
"cow_lactations.parquet","crop_type","character",4394,5937,FALSE,"derived",,,
"cow_lactations.parquet","crop_year","integer",4394,5937,FALSE,"derived",,,
"cow_lactations.parquet","dam_status","character",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","days_to_first_service","numeric",4396,5937,FALSE,"derived",,,
"cow_lactations.parquet","donor","logical",45,5937,FALSE,"derived",,,
"cow_lactations.parquet","exit_date","Date",3270,5937,FALSE,"derived (min/max of child records)",,,
"cow_lactations.parquet","exit_reason","character",2436,5937,FALSE,"sourced (joined label)",,,
"cow_lactations.parquet","exit_reason_group","character",2436,5937,FALSE,"derived",,,
"cow_lactations.parquet","exposed","logical",4396,5937,FALSE,"derived",,,
"cow_lactations.parquet","first_service","Date",4396,5937,FALSE,"derived (min/max of child records)",,,
"cow_lactations.parquet","gestation_days","numeric",2735,5937,FALSE,"derived",,,
"cow_lactations.parquet","interval_ready","logical",2591,5937,FALSE,"derived",,,
"cow_lactations.parquet","last_service","Date",4396,5937,FALSE,"derived (min/max of child records)",,,
"cow_lactations.parquet","lost_before_calving","logical",582,5937,FALSE,"derived",,,
"cow_lactations.parquet","methods","character",4396,5937,FALSE,"derived",,,
"cow_lactations.parquet","n_calves_born","integer",4025,5937,FALSE,"derived",,,
"cow_lactations.parquet","n_preg_checks","integer",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","n_services","integer",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","outcome","character",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","parity","integer",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","rate_ready","logical",3380,5937,FALSE,"derived",,,
"cow_lactations.parquet","recipient","logical",819,5937,FALSE,"derived",,,
"cow_lactations.parquet","record_horizon","Date",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","retained_to_due","logical",5355,5937,FALSE,"derived",,,
"cow_lactations.parquet","season_days","numeric",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","season_end","Date",5937,5937,FALSE,"derived (min/max of child records)",,,
"cow_lactations.parquet","season_index","integer",5937,5937,FALSE,"derived",,,
"cow_lactations.parquet","season_start","Date",5937,5937,FALSE,"derived (min/max of child records)",,,
"cow_scorecard.parquet","age_yrs","numeric",1474,1625,FALSE,"derived",,,
"cow_scorecard.parquet","calvings","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","delivered","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","exit_reason_group","character",687,1625,FALSE,"derived",,,
"cow_scorecard.parquet","failure_mode","character",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","final","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","first_season","Date",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","here","logical",711,1625,FALSE,"derived",,,
"cow_scorecard.parquet","intervals","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","into_herd","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","last_season","Date",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","left_open","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","long_interval_days","numeric",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","lost","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","lost_birth","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","lost_postWean","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","lost_preWean","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","lost_unknown","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","med_interval","numeric",734,1625,FALSE,"derived",,,
"cow_scorecard.parquet","neonatal_days","numeric",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","open_record_complete","logical",914,1625,FALSE,"derived",,,
"cow_scorecard.parquet","pct_calved","numeric",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","pct_delivered","numeric",1204,1625,FALSE,"derived",,,
"cow_scorecard.parquet","pct_left_open","numeric",902,1625,FALSE,"derived",,,
"cow_scorecard.parquet","pct_slipped","numeric",734,1625,FALSE,"derived",,,
"cow_scorecard.parquet","preliminary","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","rankable","logical",347,1625,FALSE,"derived",,,
"cow_scorecard.parquet","seasons","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","slipped","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","sold","integer",1625,1625,FALSE,"derived",,,
"cow_scorecard.parquet","unknowable","integer",1625,1625,FALSE,"derived",,,
"disease_cases.parquet","age_days_at_onset","numeric",2384,2543,FALSE,"derived",,,
"disease_cases.parquet","age_months_at_onset","numeric",2384,2543,FALSE,"derived",,,
"disease_cases.parquet","case_fatal","logical",178,2543,FALSE,"derived",,,
"disease_cases.parquet","case_gap_days","numeric",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","case_id","integer",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","clock_true","logical",2331,2543,FALSE,"derived",,,
"disease_cases.parquet","day_of_phase","numeric",2499,2543,FALSE,"derived",,,
"disease_cases.parquet","day_of_phase_clean","numeric",2320,2543,FALSE,"derived",,,
"disease_cases.parquet","days_to_death","numeric",178,2543,FALSE,"derived",,,
"disease_cases.parquet","death_window_days","numeric",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","disease","character",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","duration_days","numeric",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","end_date","Date",2543,2543,FALSE,"derived (min/max of child records)",,,
"disease_cases.parquet","exit_date","Date",1433,2543,FALSE,"derived (min/max of child records)",,,
"disease_cases.parquet","exit_reason_group","character",799,2543,FALSE,"derived",,,
"disease_cases.parquet","max_temp","numeric",256,2543,FALSE,"derived",,,
"disease_cases.parquet","n_treatments","integer",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","outcome","character",2543,2543,FALSE,"derived",,,
"disease_cases.parquet","pasture_name","character",2469,2543,FALSE,"sourced (joined label)",,,
"disease_cases.parquet","phase_at_onset","character",2499,2543,FALSE,"derived",,,
"disease_cases.parquet","phase_at_start","character",2510,2543,FALSE,"derived",,,
"disease_cases.parquet","phase_length_days","numeric",2499,2543,FALSE,"derived",,,
"disease_cases.parquet","start_date","Date",2543,2543,FALSE,"derived (min/max of child records)",,,
"disease_cases.parquet","substances","character",2543,2543,FALSE,"derived",,,
"exclusions.parquet","detail","character",20,20,FALSE,"derived",,,
"exclusions.parquet","n_animals","integer",11,20,FALSE,"derived",,,
"exclusions.parquet","n_records","integer",20,20,FALSE,"derived",,,
"exclusions.parquet","reason","character",20,20,FALSE,"derived",,,
"exclusions.parquet","recorded","Date",20,20,FALSE,"derived",,,
"exclusions.parquet","recoverable","logical",10,20,FALSE,"derived",,,
"exclusions.parquet","table","character",20,20,FALSE,"derived",,,
"locations.parquet","age_days_at_start","numeric",63484,65543,FALSE,"derived",,,
"locations.parquet","days","numeric",65543,65543,FALSE,"derived",,,
"locations.parquet","entry_date","Date",65543,65543,FALSE,"derived (min/max of child records)",,,
"locations.parquet","exit_date","Date",34974,65543,FALSE,"derived (min/max of child records)",,,
"locations.parquet","from_date","Date",65543,65543,FALSE,"derived (min/max of child records)",,,
"locations.parquet","is_last","logical",3864,65543,FALSE,"derived",,,
"locations.parquet","pasture_name","character",60055,65543,FALSE,"sourced (joined label)",,,
